File name: LC02_Acre_Daily_Meteorology_1970-2001.csv,,,,,,,,,,,,
File date:  31-January-20006,,,,,,,,,,,,
Data contact:  I. Foster Brown,,,,,,,,,,,,
Associated LBA Dataset ID: LC02_Meteorology_Acre,,,,,,,,,,,,
"Data description:  Daily averages were obtained in three locations in a radius of 8 kilometers from Rio Branco, capital of Acre State in Brazil.  From June of 1968 to 1974, the  meteorological station was located in the neighborhood Experimental Station.  From December of 1974 to 1980 the station operated in a region called The Second District.  Since May of 1980 the station has been operating at the Federal University of Acre ( 9.95 degrees South and 67.86 degrees West).   Source of the data: The National Institute of Meteorology - INMET, provided here as part of the LBA project, Investigation team ND-02.",,,,,,,,,,,,
,,,,,,,,,,,,
Column,Heading,Units/format,Description,,,,,,,,,
1,Seq_num,,Record sequence in original data file,,,,,,,,,
2,Date,YYYYMMDD,Measurement date,,,,,,,,,
3,Rainfall,mm,Total measured rainfall in millimeters over 24 hour sampling period ,,,,,,,,,
4,Air_T_max,degrees C,Maximum recorded air temperature in degrees C over 24 hour sampling period,,,,,,,,,
5,Air_T_min,degrees C,Minimum recorded air temperature in degrees C over 24 hour sampling period,,,,,,,,,
6,Air_T_mean,degrees C,Weighted mean temperature in degrees C over a 24 hour period,,,,,,,,,
7,RH,%,Mean relative humidity during 24 hour sampling period in percent,,,,,,,,,
8,ET,mm day-1,Evapotranspiration rate in millimeters per day calculated using the Penmen-Monteith equation,,,,,,,,,
9,Wind_dir,,"Wind direction during 24 hour sampling period using cardinal directions: N = North, S= South, E- East, W= West, C = Calm",,,,,,,,,
10,Wind_vel,m/sec,Mean windspeed over 24 hour sampling period in meters per second sampled at 10 m above the ground surface,,,,,,,,,
11,Atm_press,mbar,Atmospheric pressure in millibars,,,,,,,,,
12,Insolation,kJ m-2,Solar radiation received at the ground surface in kilojoules per meter squared,,,,,,,,,
13,Cloud_cover,,Tenths of the sky with cloud cover ( 0= clear sky; 10 = completely clouded over),,,,,,,,,
,,,,,,,,,,,,
Note: missing values are represented as -9999,,,,,,,,,,,,
,,,,,,,,,,,,
Seq_num,Date,Rainfall,Air_T_max,Air_T_min,Air_T_mean,RH,ET,Wind_dir,Wind_vel,Atm_press,Insolation,Cloud_cover
1,19700101,0.4,34.4,23.4,28.9,94,1.8,C,0,991.5,7.4,8
2,19700102,7.8,25.7,22.4,24.5,94,0.7,E,1,992.8,0,8.3
3,19700103,27,31.1,22.7,26.9,96,0.4,N,1,990.1,3.6,8
4,19700104,4.8,30.7,21.7,26.2,89,0.7,SW,3,994.4,0.8,7
5,19700105,9.2,30.9,22,26.5,86,0.9,C,0,993.7,1.9,7
6,19700106,4,30.9,22.2,26.7,91,1.5,N,1,992.7,5.7,7
7,19700107,4.4,30.3,21.7,26,84,1.1,C,0,991.7,3.5,6
8,19700108,0,33.8,22,27.9,88,0.2,C,0,992.8,3.1,6
9,19700109,6,30.7,22,26.4,86,1,C,0,995.5,2.5,5
10,19700110,0,34,23.8,28.6,91,1.5,SE,1,995,4.6,6
11,19700111,27.7,29.9,23.8,26.9,86,0.8,SE,0.8,994.1,1.2,7
12,19700112,24.9,31.3,23.1,27.2,89,1.4,W,3,993.3,5.3,8
13,19700113,8,31.9,22.4,27.2,85,1.3,N,3,991,1.6,6
14,19700114,0,33.2,23.6,28.4,86,1.5,NE,3,990.4,8.6,6
15,19700115,4.6,33.4,23,20.9,95,1.5,N,1,991.6,5.6,8
16,19700116,24.4,27.1,23.3,24.7,87,0.6,W,3,990.3,0,8
17,19700117,0,29.5,22.1,25.8,88,1.4,NE,1,993.5,1.5,7.3
18,19700118,4.8,31.1,21.5,26.3,88,0.9,C,0,993.4,1.6,7
19,19700119,0.6,32.5,21.2,25.9,87,1.4,N,3,993.8,2.8,7
20,19700120,0,30.1,22.1,26.1,80,0.5,E,3,993.1,2.6,7
21,19700121,0,31.5,23.2,27.4,88,2,C,0,993.6,5.9,6
22,19700122,0,31.7,23,27.4,81,1.7,N,3,995.2,2.9,7
23,19700123,0,33.2,22,27.6,80,2.5,W,5,991.7,7.4,4
24,19700124,0,33.1,21.5,27.3,81,3.1,N,1,991.4,9.3,6
25,19700125,0,33.8,22.3,28.1,87,2.2,N,5,991.9,8.5,6
26,19700126,4,32.9,22.4,27.4,83,1.9,W,3,992.8,7.1,7
27,19700127,0.2,32.6,22.7,27,89,0.6,C,0,992.5,4.5,6
28,19700128,2.2,30.7,22.4,27.5,84,1.3,N,4,992.3,0.8,7
29,19700129,0,30.4,22.5,26.5,82,1.7,E,2,991.8,3.8,6
30,19700130,0,34.4,28,31.2,77,2.7,C,0,990.5,10.8,4
31,19700131,1.2,32.4,23,27.7,83,1.8,N,4,991.6,7.6,5
32,19700201,3.2,28.7,22.8,25.6,91,0.4,N,3,995,1,7
33,19700202,0.3,31.9,21.5,26.7,84,0.5,E,1,995,4,7
34,19700203,11.4,29.5,21,25.3,92,0.6,C,0,997.6,3,8
35,19700204,3.5,29.9,22.4,26.2,96,0,C,0,993.1,2.7,8
36,19700205,20.8,30.7,21.8,20.3,81,1.2,NE,2,991.9,4.1,7
37,19700206,8,30.5,21.5,26,87,1.1,N,3,992.8,1.8,8
38,19700207,36,29.7,21.3,25.5,89,1,N,3,994.2,6.2,7
39,19700208,2,30.9,21.9,26.4,85,1.5,N,3,992.6,5.8,8
40,19700209,0.2,29.7,21.9,25.8,86,1.7,N,1,992.5,1.2,7
41,19700210,12.4,27.9,22.3,25.1,91,1,E,3,993.9,0.1,8
42,19700211,36.1,26.5,20.4,23.5,89,0.8,C,0,994.2,0.1,9
43,19700212,2.5,26.5,20.4,23.5,89,0.8,C,0,994.2,3,8
44,19700213,16.6,28.8,21.8,25.3,91,1.2,N,3,995.4,2.2,8
45,19700214,1.4,32.1,19.8,26,83,0.8,E,3,994.7,3.8,5
46,19700215,0,30.1,21,25.6,87,1.4,SE,3,995.1,1.4,8
47,19700216,0.4,29.3,22,25.8,90,0.8,SW,5,994.7,1.7,8
48,19700217,9.8,29.4,21.5,25.5,90,0.8,C,0,995.5,3,8
49,19700218,4.6,30.1,22,26.1,90,0.9,N,5,994.9,1.8,7
50,19700219,17,26.9,22,24.5,93,0.8,NE,3,995.5,0,8
51,19700220,5,30.4,22.1,26.3,86,0.5,N,2,995.5,6.6,7
52,19700221,3.4,26.5,22.3,24.4,96,1.8,C,0,995.5,0.4,8
53,19700222,2.6,27.7,21.2,24.4,94,0.5,C,0,995.7,0.8,6
54,19700223,14.4,31.7,21.5,26.6,89,0.7,S,1,995.2,5.4,7
55,19700224,3,30.5,21.7,26.1,84,1.4,E,3,996.8,3.8,6
56,19700225,19,27.4,21.3,24.3,89,1.2,E,3,998.8,3.1,8
57,19700226,0,28.5,20,24.3,87,1.3,C,0,998,3.6,6
58,19700227,0,28.9,21.5,25.2,85,1.6,C,0,997.6,2.5,7
59,19700228,12,31.1,21.7,25.9,87,0.9,E,3,995.9,4.6,7
60,19700301,0,31.5,22.6,27.1,87,1.4,W,3,991,0.9,6
61,19700302,3,31.7,23.2,27.5,95,0.9,N,2,992.3,2.3,7
62,19700303,0.2,27.1,22,24.6,89,0.9,C,0,992,0.1,8
63,19700304,7.2,28.9,22,25.5,87,0.8,C,0,994.7,1.1,7
64,19700305,2,32.7,22.9,27.8,87,1.6,N,2,994.9,7.4,8
65,19700306,14,30.9,22.8,26.8,93,0.8,E,1,995,3.3,8
66,19700703,6.6,27.9,22.4,25.2,98,0.6,SW,3,996.7,0,8
67,19700308,32.2,30.7,22.2,26.5,90,0.6,W,3,995.5,1.8,8
68,19700309,5.2,30.9,22,26.5,89,0.5,C,0,994.2,1.5,8
69,19700310,0,32.5,22.1,27.3,93,1,C,0,994,3.2,6
70,19700311,20.2,28.5,21.8,25.2,88,0.6,C,0,994.2,0.6,7
71,19700312,1.8,35.6,21.7,28.7,86,1.9,N,1,996.7,6.3,7
72,19700313,0,32.2,22.4,28.39,94,1.3,C,0,996,4.8,6.3
73,19700314,3.6,26.3,21.2,23.8,86,0.2,C,0,995.5,0,7
74,19700315,19,32.1,21.6,26.9,94,1.5,NE,2,995,4,7
75,19700316,2.2,30.3,22,26.2,95,0.4,C,0,992.8,1.8,7
76,19700317,20,31.5,22.5,27,88,2.6,C,0,992.1,3.8,6
77,19700318,11.8,33.4,20.5,27,92,1.5,SW,1,995.6,6.7,8
78,19700319,0,24.5,19,26.5,90,0.5,SW,3,995.9,0,8
79,19700320,0,31.9,19.7,25.8,86,1.2,E,1,995.6,0.3,4
80,19700321,0,31.3,20.5,25.9,87,2,E,3,994.5,9.5,5
81,19700322,1,30.9,22.2,26.6,90,1.3,N,3,995,4.9,6
82,19700323,7.8,30.3,23.2,26.8,80,1,C,0,995.2,3.1,7
83,19700324,17.6,32.1,21.2,26.7,89,0.5,S,2,994.6,2.5,8
84,19700325,0,34,22.3,28.3,94,1.5,SW,3,994.1,4.2,6
85,19700326,8.2,31.1,20.8,26,89,1.2,SW,3,995.1,2.2,7
86,19700327,14.8,34.5,21.6,28.1,86,1.5,SE,1,996,6.5,7
87,19700328,0,32.2,21.6,26.9,85,1.8,SE,1,993.7,7,7
88,19700329,0,35.2,22.7,29,87,1.5,NE,3,992.1,8,6
89,19700330,1.3,32.1,23,27.5,87,1.2,W,2,994.6,5.2,7
90,19700331,0,33.2,22.9,27.8,88,1.3,C,0,993.4,3.4,7
