 Yr, Mo, Day, Hr, Min, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, SM5, ST5, P_1, P_2, 
 , , , , ,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15, 
2016,5,1,0,0,0.321,8.873,0,0,0.386,6.9,0,0,0.401,7.4,0.254,0.762,0.307,8.3,0,0,0.32,8.115,0.254,0.254,0.307,8.6,0.254,0.254,0.296,8.4,0.254,0.254,0.277,8.477,0,0.254,0.32,7.8,0,0,0.245,8,0,0,0.36,9.2,0,0,0.387,8.2,0.254,0.254,0.197,8.922,0,0.254,0.332,8,0.254,0.254,0.434,7.6,0,0, 
2016,5,1,1,0,0.321,8.817,0,0,0.388,6.9,0.254,0.254,0.401,7.4,0,0.508,0.308,8.2,0,0,0.32,8.073,0,0,0.307,8.6,0,0.254,0.302,8.3,0,0,0.277,8.45,0,0.254,0.318,7.8,0,0.254,0.247,8,0,0,0.357,9.2,0.254,0.254,0.388,8.2,0,0,0.197,8.893,0.254,0.254,0.33,8,0,0,0.435,7.6,0,0, 
2016,5,1,2,0,0.32,8.79,0,0.254,0.384,6.7,0,0,0.397,7.4,0,0.254,0.305,8.2,0,0,0.32,8.045,0,0,0.304,8.6,0,0.508,0.296,8.3,0,0,0.276,8.422,0,0,0.32,7.7,0.254,0,0.249,8,0.254,0,0.357,9.1,0,0,0.385,8.2,0.254,0.254,0.197,8.894,0,0,0.332,8,0,0,0.428,7.6,0,0, 
2016,5,1,3,0,0.321,8.748,0,0,0.386,6.7,0,0,0.397,7.3,0,0,0.302,8.1,0,0,0.321,8.02,0,0,0.303,8.6,0,0.254,0.297,8.3,0,0,0.276,8.409,0,0,0.319,7.7,0,0,0.249,8,0,0,0.36,9.2,0,0,0.385,8.1,0,0,0.197,8.866,0,0,0.332,8,0.254,0,0.429,7.5,0,0, 
2016,5,1,4,0,0.321,8.72,0.254,0,0.384,6.7,0,0,0.397,7.3,0,0.254,0.305,8.1,0.254,0.254,0.321,8.007,0,0,0.303,8.5,0.254,1.524,0.297,8.1,0,0,0.274,8.395,0,0,0.318,7.8,0,0.254,0.249,7.8,0.254,0,0.357,9.1,0,0,0.385,8.1,0,0,0.197,8.852,0,0,0.329,7.8,0,0,0.423,7.6,0,0, 
2016,5,1,5,0,0.324,8.678,0,0.254,0.386,6.7,0.254,0.254,0.397,7.3,0.254,0.508,0.303,8.1,0.254,0,0.321,7.952,0,0,0.303,8.5,0.254,0.508,0.293,8.2,0.254,0,0.274,8.367,0,0.254,0.318,7.7,0,0,0.249,7.8,0,0,0.359,9.1,0.254,0.254,0.388,8,0.254,0.254,0.196,8.838,0.254,0.254,0.329,7.8,0,0,0.425,7.5,0.254,0, 
2016,5,1,6,0,0.323,8.623,0,0,0.384,6.6,0,0,0.4,7.2,0,0,0.303,8,0,0.254,0.321,7.896,0,0,0.304,8.4,0,0,0.291,8.2,0,0.254,0.274,8.312,0,0,0.319,7.7,0,0,0.249,7.8,0,0,0.357,9.1,0,0,0.388,8,0,0,0.196,8.795,0,0,0.332,7.8,0,0,0.423,7.4,0,0, 
2016,5,1,7,0,0.324,8.651,0,0,0.385,6.5,0,0,0.393,7.2,0,0,0.305,8,0,0,0.322,7.868,0,0,0.304,8.4,0,0,0.288,8.1,0,0,0.273,8.285,0,0,0.316,7.7,0,0,0.252,7.7,0,0,0.353,9,0,0,0.385,8,0.254,0.254,0.197,8.781,0,0,0.332,7.8,0,0.254,0.425,7.4,0,0, 
2016,5,1,8,0,0.325,8.734,0,0,0.382,6.5,0,0,0.396,7.2,0,0,0.305,8,0,0,0.322,7.872,0,0,0.301,8.4,0,0.254,0.291,8.1,0,0,0.273,8.271,0,0,0.313,7.7,0,0,0.247,7.8,0,0,0.354,9,0,0,0.388,8,0,0,0.197,8.824,0,0,0.329,7.7,0.254,0,0.426,7.4,0,0.254, 
